Unnamed: 0,g_Corynebacterium,g_Staphylococcus,g_Streptococcus,g_Cutibacterium,g_Prevotella,g_Delftia,g_Veillonella,g_Pseudomonas,g_unclassified_f_unclassified_o_unclassified_c_unclassified_p_unclassified_k_Bacteria,g_Neisseria,g_Porphyromonas,g_Alloiococcus,g_Fusobacterium,g_Haemophilus,g_Turicella,g_Acinetobacter,g_Campylobacter,g_Leptotrichia,g_unclassified_f_Neisseriaceae,g_Alcaligenes,g_Anaerococcus,g_Oligella,g_Rothia,g_Brevibacterium,g_Peptoniphilus,g_Actinomyces,g_unclassified_f_Prevotellaceae,g_Azotobacter,g_unclassified_f_unclassified_o_unclassified_c_unclassified_p_unclassified_k_unclassified_,g_Alloprevotella,g_Brevundimonas,Other
MEC01,8.24372759856631,10.6332138590203,3.18598168060534,28.0764635603345,0.0,0.0,0.0,41.3779370768618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.482676224611705
MEC01,0.3694006309148265,0.0,0.0,0.0044164037854889,0.0,0.0,0.0,0.0,0.0350157728706624,0.0,0.0,0.0,0.0,0.0,0.0085173501577287,0.0,0.0,0.0,0.0,0.0,0.0,0.2498422712933753,0.0,0.0,0.0,0.0,0.0,0.0,0.0009463722397476,0.0,0.0,0.3318611987381699
MEC03,11.1325301204819,0.240963855421687,4.19277108433735,11.710843373494,2.31325301204819,20.9156626506024,0.481927710843374,0.0963855421686747,17.4939759036145,1.39759036144578,1.1566265060241,0.0,1.49397590361446,0.337349397590361,0.0,3.08433734939759,1.25301204819277,0.0,0.289156626506024,0.0,0.626506024096385,0.0,0.530120481927711,0.0,0.626506024096385,1.34939759036145,0.0,0.0,1.63855421686747,0.91566265060241,1.30120481927711,15.42168674698794
MEC04,0.06,95.21,0.0,0.98,0.0,0.48,0.0,0.0,2.35,0.0,0.0,0.0,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.05,0.4200000000000001
MED01,0.4736842105263157,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105263157894736
MED01,0.9964038539829012,0.0,0.0,0.0002714072465734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009951599041027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023295788664224
MED02,71.67,0.1,0.34,0.07,0.0,0.0,0.0,0.01,0.0,0.0,16.44,0.01,0.01,0.0,0.0,0.0,0.33,0.5,0.0,0.0,5.22,0.47,0.0,0.11,3.39,0.0,0.0,0.0,0.0,0.0,0.0,1.3300000000000003
MED02,0.8659303476234558,0.0,0.0059054489737287,0.0001276853832157,0.0,0.0,0.0,0.0,0.0,0.0,0.0171098413509113,0.0,0.0,0.0,0.0,0.0,0.0,0.0037667188048648,0.0,0.0,0.0857088134835764,0.0002872921122354,0.0,0.0,0.0180355603792255,0.0,0.0,0.0,0.0,0.0,0.0,0.003128291888786
MED03,26.3,62.15,0.97,6.2,0.31,0.0,0.01,0.07,0.0,0.0,0.43,0.03,0.03,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.27,0.06,0.01,0.27,0.23,0.23,0.0,0.0,0.0,0.0,0.0,2.2700000000000005
MED03,0.9719067543335326,0.0017184698147041,0.0,0.0059772863120143,0.0,0.0,0.0,0.0,0.0,0.0,0.0001494321578003,0.0,0.0,0.0,0.0,0.0,0.0,0.0002988643156007,0.0,0.0,0.0038852361028093,0.0,0.0003735803945008,0.0,0.0008218768679019,0.0005977286312014,0.0,0.0,0.0,0.0,0.0,0.0129258816497303
MED04,99.65,0.02,0.02,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
MED04,0.626733921815889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3732660781841109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED10,3.52613240418119,0.111498257839721,0.139372822299652,0.808362369337979,0.306620209059233,17.0034843205575,0.0,0.0418118466898955,51.609756097561,0.0,0.627177700348432,0.0,2.21602787456446,0.0,0.0,3.90243902439024,0.0,0.0,0.0,0.0278745644599303,0.0,0.0,0.0,0.0,0.961672473867596,0.0,0.0,0.0,5.68641114982578,0.0,1.21254355400697,11.818815331010455
MED11,0.23,8.84,0.08,86.45,0.0,2.37,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.09,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.3000000000000005
MED12,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED13,7.97,33.02,0.45,0.63,1.46,23.1,0.33,0.0,0.04,0.56,0.25,0.0,0.0,0.0,23.22,1.76,0.0,0.0,0.59,0.44,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.1,1.2,4.699999999999998
MED18,1.34,98.51,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MED19,0.28,29.02,0.09,54.67,0.0,1.32,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,13.83,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.45
MED20,0.0592487261523877,0.462140063988624,14.2552435122645,2.76099063870127,0.165896433226686,26.9581703993364,0.0,0.0,35.2174428249793,0.0473989809219102,0.53323853537149,0.0,0.0,0.0236994904609551,0.0,4.72804834696054,0.0,0.0,0.331792866453371,0.0,0.0,0.0,0.0,0.0,0.0,0.142196942765731,0.0,0.0,5.83007465339495,0.296243630761939,1.06647707074298,7.121696883517004
MED21,0.0218978102189781,0.0,0.0,0.0072992700729927,0.0,0.2686131386861314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110948905109489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5912408759124087
MED22,0.005008517540012,0.0,2.0401293442004223e-05,0.937490436893699,0.0,0.0,0.0,0.0,0.0,0.0,0.000122407760652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313975906072445,0.0,0.0,0.0,0.0086399477726887,0.0,0.0,0.0,0.0,0.0,0.0,0.0171982903716093
MED23,0.993869764197309,0.0,0.0,0.0029277160643886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018813482291017,0.0,0.0,0.0,0.0,4.227748829442043e-05,0.0,0.0,0.0,0.0,0.0,0.0011626309280964
MED24,0.1956271576524741,0.0,0.0,0.0161104718066743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3475258918296893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4407364787111621
MED25,0.4223985890652557,0.0,0.0061728395061728,0.1798941798941798,0.0,0.0,0.0,0.0,0.0,0.0352733686067019,0.0,0.0,0.0,0.0,0.0582010582010582,0.0,0.0,0.027336860670194,0.0,0.0,0.0,0.0,0.0,0.0176366843033509,0.0,0.0449735449735449,0.0,0.0,0.0,0.0,0.0,0.2063492063492059
MED26,0.5670920080591001,0.0,0.0,0.0924110141034251,0.0,0.0,0.0,0.0,0.0010745466756212,0.0,0.0002686366689053,0.0,0.0,0.0,0.0291470785762256,0.0,0.0,0.0,0.0008059100067159,0.0,0.2635325721961047,0.0,0.0134318334452652,0.0,0.0005372733378106,0.0,0.0,0.0,0.0,0.0,0.0,0.0311618535930153
MED28,0.0592447916666666,0.0065104166666666,0.0,0.9270833333333334,0.0,0.0,0.0,0.0,0.0071614583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED29,0.0249804839968774,0.0,0.0,0.0120999219359875,0.0,0.0,0.0,0.0,0.398711943793911,0.027127244340359,0.0,0.0,0.0,0.0021467603434816,0.0,0.0,0.0,0.0,0.0,0.0,0.0218579234972677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251951600312256,0.0,0.0,0.2525370804059321
MED30,0.0009914077990746,0.0,0.0,0.0152015862524785,0.0,0.0,0.0,0.0,0.6781229345670853,0.0,0.0,0.0,0.0,0.0,0.0042961004626569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037673496364838,0.0,0.0,0.0750165234633179,0.0,0.0,0.1886979510905482
MEN01,25.979061651803,6.01008142690965,1.4540519581233,6.49476541295076,3.39278790228771,0.0,0.0,16.5761923226057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0387747188832881,0.0,0.0,1.99689802248934,0.0,2.96626599457154,0.0,1.08569212873207,0.0,0.0,0.0,0.0,0.0,34.00542846064365
