Unnamed: 0,g_Corynebacterium,g_Staphylococcus,g_Streptococcus,g_Cutibacterium,g_Prevotella,g_Delftia,g_Veillonella,g_Pseudomonas,g_unclassified_f_unclassified_o_unclassified_c_unclassified_p_unclassified_k_Bacteria,g_Neisseria,g_Porphyromonas,g_Alloiococcus,g_Fusobacterium,g_Haemophilus,g_Turicella,g_Acinetobacter,g_Campylobacter,g_Leptotrichia,g_unclassified_f_Neisseriaceae,g_Alcaligenes,g_Anaerococcus,g_Oligella,g_Rothia,g_Brevibacterium,g_Peptoniphilus,g_Actinomyces,g_unclassified_f_Prevotellaceae,g_Azotobacter,g_unclassified_f_unclassified_o_unclassified_c_unclassified_p_unclassified_k_unclassified_,g_Alloprevotella,g_Brevundimonas,Other
SD01,82.32,4.78,0.09,5.06,0.0,0.0,0.22,0.53,0.0,0.0,0.15,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.3,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,3.8
SD01,0.9983320897160164,0.0,0.0,0.0002779850473306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004828161348373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009071091018155
SD04,49.94,43.81,0.04,2.72,0.0,0.02,0.01,0.0,0.07,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.7,0.0,0.01,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.97
SD05,62.3534210257979,14.0307943305802,0.142755174875089,17.1408177832161,0.0,1.43774854695626,0.0,0.0,3.0182522687876,0.0305903946160906,0.0,0.0,0.020393596410727,0.0,0.0,0.132558376669726,0.0,0.0,0.234526358723361,0.0,0.356887937187723,0.0,0.0,0.0,0.0305903946160906,0.0,0.0,0.0,0.224329560517997,0.0,0.152951973080453,0.693382277964719
SD07,4.09,43.66,0.17,43.81,0.01,0.55,0.04,0.0,2.69,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.0,0.0,0.0,0.01,3.45,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.16,0.0,0.0,1.0600000000000005
SD08,0.96,59.64,0.07,16.28,0.01,0.26,0.07,0.0,0.91,0.03,0.01,0.0,0.01,0.0,0.0,0.07,0.0,0.04,0.06,0.0,5.16,0.0,0.01,0.0,11.53,0.02,0.0,0.0,0.12,0.0,0.11,4.630000000000001
SD09,8.17106460418562,20.2547770700637,1.76524112829845,28.098271155596,2.092811646951774,8.00727934485896,0.0,0.0,10.73703366697,0.0,0.163785259326661,0.0,0.0,0.0,0.0909918107370337,0.436760691537762,0.200181983621474,0.0909918107370337,0.0,0.400363967242948,1.49226569608735,0.0,0.0,0.0,2.85714285714286,0.145586897179254,0.0,0.0,1.45586897179254,0.0727934485896269,0.636942675159236,12.82984531392174
SD10,29.19,1.98,0.26,55.96,2.25,0.14,0.02,0.02,0.37,0.18,0.04,0.0,0.03,0.0,0.0,0.02,0.33,0.01,0.01,0.0,2.03,0.0,0.02,0.0,5.16,0.07,0.0,0.0,0.03,0.03,0.0,1.85
SD11,0.2919548598471059,0.0,0.00309428467419,0.2655624317437204,0.0,0.0,0.0,0.0,0.0293046960320349,0.0,0.0,0.0,0.0134692391700036,0.0,0.0,0.0,0.0,0.013287222424463,0.0,0.0,0.1787404441208591,0.0,0.0,0.0020021842009464,0.0012741172187841,0.0118310884601383,0.0,0.0,0.0076447033127047,0.0,0.0005460502366217,0.1534401164907152
SD12,0.681693093958852,0.0009173109684182,0.0,0.1832001048355392,0.0,0.0,0.0,0.0007862665443585,0.0024898440571353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0458655484209146,0.0,0.0,0.0,0.0150701087668719,0.0,0.0,0.0,0.0003931332721792,0.0,0.0,0.0691914559035512
SD13,0.994655289622354,0.0,4.6883424365315645e-05,0.0050165264070887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002813005461918
SDP01,72.1278317152104,0.35059331175836,0.0,3.95091693635383,0.0,0.0,0.0,15.4665587918015,0.0134843581445523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134843581445523,0.0,0.862998921251348,0.0,0.0,0.768608414239482,0.701186623516721,0.0,0.0,0.0,0.0,0.0,0.0,5.744336569579283
SDP01,0.959240012991231,0.0,0.0,0.0033869994896302,0.0,0.0,0.0,0.0,0.0001623903864891,0.0,0.0,0.0,0.0,0.0,0.0019718832645107,0.0,0.0,0.0,0.0,0.0,0.0106945668816406,0.0,0.0,0.0112745325476731,0.0,0.0,0.0,0.0,6.95958799239085e-05,0.0,0.0,0.013200018558901
SDP05,27.7883698760725,6.67302192564347,2.1210676835081,6.48236415633937,0.0714966634890372,5.43374642516683,0.119161105815062,19.8284080076263,9.27073403241182,0.0,0.0,0.0,0.0,0.0,0.0,0.452812202097235,0.0,0.0,0.0,0.0,0.0,0.0,0.0953288846520496,0.262154432793136,0.0,0.190657769304099,0.0,0.0,4.38512869399428,0.0,0.548141086749285,16.277407054337456
SDP06,15.65,2.51,0.03,64.47,0.44,0.27,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,4.75,0.0,0.83,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.12,0.0,0.04,7.25
SDP08,40.78,20.74,0.02,24.12,0.37,0.53,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.42,0.0,0.4,0.01,6.73,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.05,0.0,0.03,3.28
SDP09,9.25996932515337,16.2576687116564,0.172546012269939,1.91717791411043,0.191717791411043,2.77990797546012,0.0,0.0766871165644172,14.7430981595092,0.13420245398773,0.249233128834356,0.0,0.0,38.1134969325153,0.0,0.67101226993865,0.0,0.0,0.325920245398773,0.325920245398773,0.172546012269939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62653374233129,0.0,1.26533742331288,10.717024539877292
SDP10,46.572855197458,25.3404448479346,2.80299591466183,9.63458919655016,0.0,1.83840217884703,0.136177939173854,0.0340444847934635,4.26690876078075,0.329096686336813,0.0907852927825692,0.0,0.10213345438039,0.0,0.0,0.261007716749887,0.0,0.136177939173854,0.0,0.0680889695869269,0.317748524738992,0.0,0.0794371311847481,0.0,0.0,0.0,0.0,0.0,0.522015433499773,0.0,0.158874262369496,7.308216068996826
SDP11,0.6415525114155252,0.0,0.0,0.0981735159817351,0.0,0.0,0.0,0.0,0.0,0.0,0.0171232876712328,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,0.1073059360730593,0.0,0.0,0.0,0.0114155251141552,0.0,0.0,0.0,0.0,0.0,0.0,0.1198630136986298
SDP12,0.0009871278527994,0.0,0.0576877517176024,0.0,0.0002369106846718,0.0,0.0,0.0,0.0,0.0,0.0003948511411197,0.0,0.0352602069019979,0.0,0.0,0.0,0.0012240385374713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.897022822395957e-05,0.0,0.0,0.0,0.0,0.9041301429361128
SN01,28.47,2.68,0.0,40.4,0.0,0.0,0.12,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,9.63,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54
SN01,0.5952856992528676,0.0,0.0,0.1275386719983163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764390192570767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002104598547827,0.0,0.0,0.0005261496369567
SN02,16.2154540327129,0.7473209249859,2.25606316976875,35.0253807106599,0.0,0.0,2.22786238014664,13.2684715172025,0.0,0.0,2.59447264523407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59672870840384,0.0,2.18556119571348,2.46756909193457,3.13028764805415,0.0,0.0,0.0,0.0,0.0,0.0,15.284827975183305
SN02,0.499104424144725,0.0,0.0122693892172667,0.0803331542181622,0.0,0.0,0.0,0.0001791151710549,0.014150098513344,0.0084184130395844,0.0015224789539674,0.0,0.0036718610066272,0.0001791151710549,0.0,0.0,0.0006269030986924,0.0029554003224073,0.0,0.0,0.2140426294107111,0.0005373455131649,0.0812287300734372,0.007075049256672,0.0119111588751567,0.0033136306645172,0.0,0.0,0.0010746910263299,0.0,0.0,0.0497940175532852
SN03,27.82,2.77,0.55,51.94,0.1,0.0,0.0,1.22,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,14.96
SN03,0.904153273771861,0.0,0.0001771658525473,0.0372807572574726,0.0,0.0,0.0,0.0,0.0045303839437118,0.0002277846675609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119460403431955,0.0026321783807041,0.0,0.0,0.0006074257801624,0.0,0.0,0.0,0.0006833540026827,0.0,0.0001771658525473,0.0370276631824043
